Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),motif_distance,deepSyn_motif_distance,diff_distance,family_name
FOXO1_HOXB13_3,Fox_Homeo,0.246267558024312,0.355807215957455,0.233479949813933,0.34234081546545403,0.6234944777126401,0.15642165916675585,0.3942120680089509,Fox_Homeo
FOXO1_ELK1,Fox_ETS,0.280569895708956,0.377685056152931,0.19940802734573201,0.33441768657396304,0.3952498766012764,0.14909071898699228,0.2472766699278406,Fox_ETS
FOXO1_ELK1_2,Fox_ETS,0.109420959046593,0.438658562176058,0.16663340864107,0.34723157826898104,0.3720177219426558,0.09618692447211613,0.33337182406046845,Fox_ETS
FOXO1_ELK1_3,Fox_ETS,0.18125405066209,0.403314937622643,0.187957145124542,0.366243752929008,0.27010205829627504,0.16929103970963438,0.1956529937476585,Fox_ETS
FOXO1_ELK3,Fox_ETS,0.132203284312823,0.377841645931681,0.143924123795841,0.34181251552028297,0.1857727841725316,0.10144110697949366,0.08397912334530612,Fox_ETS
FOXO1_ELK3_2,Fox_ETS,0.0900568704081814,0.45077271957218396,0.165984268320009,0.3561763706982771,0.3298202981236638,0.0914634501413437,0.3550291917041854,Fox_ETS
FOXO1_ETV1,Fox_ETS,0.14386235416250798,0.364946134755219,0.128623986358706,0.311733115607934,0.20243731161730383,0.09899753811382306,0.10356597051038408,Fox_ETS
FOXO1_ETV4,Fox_ETS,0.126320066336252,0.355883504440797,0.130575774488873,0.320522863573425,0.17949941406348258,0.08853769926751784,0.0899521029503956,Fox_ETS
FOXO1_ETV4_2,Fox_ETS,0.112459272540559,0.449156612120347,0.121363380099252,0.372341139879298,0.3068762111619248,0.13568929829486512,0.271212901090234,Fox_ETS
FOXO1_ETV7,Fox_ETS,0.23800446984718,0.29068298621674604,0.21904324059313893,0.305169761234921,0.33658914916163013,0.33206844901946125,0.0045207001421688755,Fox_ETS
FOXO1_FLI1,Fox_ETS,0.22769157802537,0.45438961500679204,0.275700946164711,0.40298753583466,0.3207959236958524,0.28644142679131795,0.034535145071913236,Fox_ETS
FOXO1_SPDEF,Fox_ETS,0.141203420507768,0.4051338045735179,0.13003289653422,0.36094443557471,0.1982134760333236,0.12295796108365475,0.07585302164016403,Fox_ETS
GCM1_CEBPB,GCM_bZIP,0.0945007096461441,0.45815521548262894,0.11310157004802901,0.45976274643768394,0.13052469096210578,0.07721319464807179,0.05334029161170219,GCM_bZIP
GCM1_CEBPB_2,GCM_bZIP,0.0816730230296399,0.41398784235804903,0.0991274578972147,0.42322209766137303,0.12672868411111915,0.09192667423965784,0.2624757946822762,GCM_bZIP
