name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
RFX3,FIGLA,RFX3_FIGLA_2,4,0,-7,9,0.268428672965206,0.14985786169124202,0.418286534656447,-1
RFX3,HES7,RFX3_HES7,3,1,10,-1,0.208571416338894,0.387836154456139,0.5964075707950329,1
RFX3,SREBF2,RFX3_SREBF2,3,1,9,0,0.38454877083255895,0.0914785809683849,0.47602735180094397,1
RFX3,SRF,RFX3_SRF,4,0,-7,9,0.27447503669623396,0.370702806428207,0.645177843124441,-1
SOX6,TBX21,SOX6_TBX21,4,1,-6,12,0.10786618301624,0.35603689235513597,0.46390307537137604,-7
SOX6,TBX21,SOX6_TBX21_2,2,0,8,-1,0.29626257865898303,0.40362934133890205,0.699891919997885,1
TEAD4,ALX4,TEAD4_ALX4,2,1,10,-6,0.166872898201392,0.22848001039900304,0.395352908600395,-3
TEAD4,ALX4,TEAD4_ALX4_2,1,0,-1,10,0.26077595079198396,0.137502304197855,0.398278254989839,-1
TEAD4,CEBPB,TEAD4_CEBPB,1,1,-1,12,0.144874167883011,0.0954672845861763,0.24034145246918698,-3
TEAD4,CEBPD,TEAD4_CEBPD,3,1,10,0,0.217855760343669,0.10066781976986398,0.31852358011353304,0
TEAD4,CEBPD,TEAD4_CEBPD_2,4,1,-1,14,0.160059689681508,0.0941469197024866,0.25420660938399503,-5
TEAD4,CEBPD,TEAD4_CEBPD_3,4,1,-1,13,0.15724418868159803,0.0975538764978733,0.254798065179471,-4
TEAD4,CEBPD,TEAD4_CEBPD_4,4,1,-1,12,0.15030681781837196,0.0975789520230856,0.24788576984145802,-3
TEAD4,CLOCK,TEAD4_CLOCK,2,0,11,-1,0.183799933781946,0.225193120569228,0.40899305435117295,-2
TEAD4,CLOCK,TEAD4_CLOCK_2,2,0,12,-1,0.144746018978296,0.16402419274135002,0.30877021171964697,-3
TEAD4,CLOCK,TEAD4_CLOCK_3,2,1,11,-1,0.110342731507262,0.166793119355802,0.27713585086306397,-2
